Timestamp,What's your level of interest for the following areas of Data Science? [Data Visualization],What's your level of interest for the following areas of Data Science? [Machine Learning],What's your level of interest for the following areas of Data Science? [Data Analysis / Statistics],What's your level of interest for the following areas of Data Science? [Big Data (Spark / Hadoop)],What's your level of interest for the following areas of Data Science? [Data Journalism],What's your level of interest for the following areas of Data Science? [Deep Learning]
2017/10/18 5:29:06 AM MDT,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested,Somewhat interested
2017/10/18 6:46:16 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 7:12:37 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 8:34:15 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 10:43:13 AM MDT,Very interested,Very interested,Very interested,,,Very interested
2017/10/18 10:45:35 AM MDT,Somewhat interested,Not interested,Somewhat interested,Not interested,Not interested,Not interested
2017/10/18 10:51:53 AM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Very interested
2017/10/18 10:56:27 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 11:33:25 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 11:46:57 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 11:59:38 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 12:38:41 PM MDT,Not interested,Not interested,Not interested,Somewhat interested,Somewhat interested,Not interested
2017/10/18 12:52:21 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 1:19:33 PM MDT,,Very interested,,,,Very interested
2017/10/18 1:37:08 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 1:58:58 PM MDT,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested,Somewhat interested
2017/10/18 2:08:27 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:08:37 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:09:27 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Not interested
2017/10/18 2:09:30 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:09:33 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:09:53 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:09:58 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,,Somewhat interested
2017/10/18 2:10:01 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:10:21 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:10:22 PM MDT,Somewhat interested,Very interested,Not interested,Not interested,Very interested,Somewhat interested
2017/10/18 2:10:28 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:10:46 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:10:52 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:10:55 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/18 2:11:08 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:11:11 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:11:19 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:11:35 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 2:11:39 PM MDT,Very interested,Not interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:11:42 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:11:51 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:12:06 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:12:15 PM MDT,Very interested,Very interested,Very interested,Very interested,,Very interested
2017/10/18 2:12:20 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:12:23 PM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:12:28 PM MDT,Somewhat interested,Very interested,Not interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:12:31 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/18 2:12:47 PM MDT,Not interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:12:55 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:13:05 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:13:11 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:13:15 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:13:18 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:13:52 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:14:01 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:14:02 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,,Somewhat interested
2017/10/18 2:14:09 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:14:10 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:14:23 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:14:23 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:14:34 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:14:35 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:14:37 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Very interested
2017/10/18 2:14:38 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:14:38 PM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested
2017/10/18 2:14:42 PM MDT,Not interested,Somewhat interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:14:53 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:14:59 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:15:00 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:15:32 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:15:44 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/18 2:15:50 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 2:15:52 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:15:52 PM MDT,Very interested,Somewhat interested,Very interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:16:18 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:16:39 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:16:51 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:16:53 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,Not interested
2017/10/18 2:17:01 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:17:06 PM MDT,Very interested,Very interested,Very interested,Not interested,Somewhat interested,Somewhat interested
2017/10/18 2:17:13 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:17:25 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:17:38 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:17:45 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:17:48 PM MDT,Somewhat interested,Somewhat interested,Not interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:18:06 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 2:18:08 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:18:27 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:18:28 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:18:30 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 2:18:30 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:18:41 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:18:57 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:19:01 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:19:12 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:19:14 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:19:21 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:19:21 PM MDT,,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:19:27 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:19:45 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:19:46 PM MDT,Very interested,,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:20:04 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 2:20:13 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:20:26 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:20:40 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:20:46 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:20:48 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:21:12 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/18 2:21:14 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:21:18 PM MDT,Somewhat interested,Not interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:21:30 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:21:33 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:21:45 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:21:49 PM MDT,Not interested,Somewhat interested,Not interested,Somewhat interested,Not interested,Not interested
2017/10/18 2:21:53 PM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:22:00 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 2:22:09 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:22:10 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:22:14 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:22:23 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:22:25 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:22:31 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:22:41 PM MDT,Somewhat interested,Somewhat interested,Not interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:22:46 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:23:09 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Not interested
2017/10/18 2:23:14 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:23:17 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:23:28 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Not interested
2017/10/18 2:24:20 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:24:23 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:24:26 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:24:35 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:24:52 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:25:16 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Not interested
2017/10/18 2:25:28 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested
2017/10/18 2:25:34 PM MDT,Very interested,,Very interested,Very interested,,
2017/10/18 2:26:02 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/18 2:26:03 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:26:13 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:26:17 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:26:38 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:26:42 PM MDT,Very interested,Very interested,Very interested,Very interested,,Somewhat interested
2017/10/18 2:26:44 PM MDT,Somewhat interested,Not interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/18 2:26:45 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:26:47 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:26:50 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 2:26:53 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:27:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:27:36 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/18 2:28:08 PM MDT,Not interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:28:10 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Not interested
2017/10/18 2:28:18 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:28:24 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:28:40 PM MDT,Very interested,Very interested,Very interested,Not interested,Somewhat interested,Very interested
2017/10/18 2:28:53 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:28:58 PM MDT,Somewhat interested,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:29:07 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:29:08 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:29:11 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:29:35 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:29:36 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:29:50 PM MDT,Very interested,Very interested,Very interested,Very interested,,
2017/10/18 2:29:55 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:30:17 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:30:33 PM MDT,Very interested,Very interested,Somewhat interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:30:42 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:30:43 PM MDT,Very interested,Very interested,Very interested,Very interested,,
2017/10/18 2:30:47 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:30:49 PM MDT,Not interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:30:50 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,,
2017/10/18 2:31:00 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:31:07 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:31:17 PM MDT,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 2:31:30 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:31:35 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:31:36 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:31:53 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:31:59 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:32:06 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:32:08 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Very interested
2017/10/18 2:32:40 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:32:40 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:32:40 PM MDT,Not interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 2:32:49 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:32:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:32:57 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:32:59 PM MDT,Somewhat interested,Not interested,Very interested,Not interested,Not interested,Somewhat interested
2017/10/18 2:33:08 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:33:08 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:33:13 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 2:33:24 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:33:27 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 2:33:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:33:52 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 2:33:59 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:34:38 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:34:47 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 2:34:49 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:34:53 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:35:07 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:35:09 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested
2017/10/18 2:35:13 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:35:16 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:35:19 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 2:35:20 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:35:34 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:35:34 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 2:35:35 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:35:47 PM MDT,Somewhat interested,Very interested,Not interested,Not interested,Somewhat interested,Somewhat interested
2017/10/18 2:35:56 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 2:35:56 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 2:35:57 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 2:35:57 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,Not interested
